,auc,evd,visual_index,timing_index,omission_index,post_omission_index,strategy_index,rewards,aborted,false_alarms,max_dprimes
1050987699,0.7718373053623421,-1574.0059460633638,16.518221707633852,1.0480664665916957,0.0092749456782156,2.906919702644212,15.470155241042155,195,530,5,2.476919583189935
1071409009,0.767207007555857,-1912.328602987851,1.9671956134618869,8.689972515518916,0.1891561011055049,0.3065048425339522,-6.722776902057029,99,801,7,1.4382067121170052
1071005395,0.8244221631925206,-1302.8512712528318,13.302181180350086,11.86126986263722,0.2626721378416928,1.5231808684682475,1.4409113177128656,176,385,6,2.6514353264200325
1077916733,0.8226889028637772,-1402.5617416274615,12.23651342339056,7.003456991247145,0.0853811076342177,3.898221519867345,5.233056432143414,169,451,6,2.3913271343095035
1084963019,0.7757350866786284,-1370.8332486575382,12.63183974466792,0.2930468755507774,0.1254703643986881,1.9427962171986424,12.338792869117142,144,402,5,2.302395666765913
1044408432,0.7573978217332333,-1439.7034836865932,6.594022560582295,2.864816202834374,0.1955811358052212,0.5100873595270179,3.729206357747921,124,392,5,1.8823365005969235
1044624428,0.7357230293408678,-1661.7664134368824,1.2849649029300878,4.002627393935299,0.046360662766471,0.9494657915457724,-2.7176624910052114,77,651,10,1.2206403488473496
1052162536,0.702049657359697,-1679.2306467094168,8.205661256312963,0.1605515150323973,0.0768919585119892,0.923836077542888,8.045109741280566,130,575,3,1.8988436218257907
1056528863,0.8236471082455007,-1355.057631495889,2.914555253898127,11.030155060112412,0.1781101401486474,0.3319267026453015,-8.115599806214286,98,439,6,1.4810853324080535
1056746264,0.8377590313061556,-1197.8520764879358,10.160888577537474,10.010125125778554,0.3068577052351376,1.5819907548016654,0.1507634517589196,134,348,9,2.36511137978098
1055253879,0.7865144268619115,-1371.453478839554,20.579741614027057,4.286919990330595,0.2866136017617203,2.0557900089226084,16.29282162369646,177,375,1,2.495643435966779
1055431030,0.8381834239007993,-1050.5498659349978,25.23314841713336,1.051705018533005,0.3067884744615615,4.93151992383787,24.181443398600354,164,220,1,2.3765573826342905
1055260435,0.7781867018076407,-1488.98709866259,11.601818584883093,5.434494759119635,0.1346924401019039,3.448960635536974,6.167323825763456,157,547,6,2.755625243588258
1055434752,0.8003856180640458,-1443.518612839427,13.466612710414944,6.161409740756907,0.0709877598000374,3.327376590820894,7.305202969658037,166,487,7,2.838721825636262
1062781531,0.807438746249488,-1056.473436723449,29.861033998281133,2.088711276071665,0.3504839300437881,3.269846144517188,27.772322722209463,211,214,5,3.135205116877497
1063068136,0.7984941496219119,-1298.512982859189,15.653566128873658,2.205400881632827,0.1607183108558514,6.55057664557295,13.44816524724083,161,385,3,2.7778950670885916
1062787784,0.7796584754559923,-1541.201761488468,10.42765210684665,6.644920289376817,0.2518501462788599,1.8437523063446697,3.782731817469834,154,551,7,3.311707619425939
1063068179,0.8002722561417205,-1839.781738772872,3.339862711443584,12.764567468168837,0.4512669707276999,2.8994097984185085,-9.424704756725252,104,833,3,2.782637511588625
1067611872,0.8586130883333396,-1097.178707979183,23.833291328572653,10.195564642059502,0.1883954160173918,5.451353245357756,13.637726686513153,185,267,6,2.302395666765913
1067817036,0.8369821484133686,-1298.180933767333,11.408997248573488,11.253725010470918,0.2942955743108238,3.13496264842846,0.1552722381025688,156,351,6,2.0221411796971105
1065491938,0.8584278917621402,-1332.1054114271392,12.840581441911231,17.929666231018807,0.2605838552162916,4.529988776971745,-5.089084789107576,162,510,7,2.9228540552587274
1065927708,0.8598541218359217,-1239.8012219033844,16.64384443158531,11.15595797699612,0.3825557445905733,7.319955643312494,5.487886454589191,160,411,7,2.2392162215578804
1070995428,0.8226311846324433,-1485.1232465209905,7.73189378501319,11.049119845519703,0.2215162048883809,2.542910525351987,-3.317226060506515,148,462,6,2.056014134572487
1069251052,0.8722368132719074,-888.3434137906443,23.46801639165642,5.505266423717243,0.2981300325391844,5.025863218340673,17.962749967939175,131,196,2,2.6962242942889767
1069520080,0.8683250461313088,-1181.5849319266854,15.829844192317369,10.177431221008622,0.1026526102639496,4.3964177867834735,5.652412971308747,155,412,7,2.013652237068048
1071409007,0.8197252610751773,-1367.9451556193526,12.52665938878775,7.269509357752478,0.3533258900675958,3.2646383969538797,5.257150031035273,166,406,8,2.2944449029892917
1077733165,0.8626628824848889,-1119.3502381705184,22.590938903018333,9.808526353471168,0.0697634595971968,7.261241377250823,12.782412549547166,187,338,6,3.1112559677825704
1081118392,0.8250249750249751,-1159.704469608114,11.434418083672384,4.574337676073563,0.1828717271430008,1.17348146874986,6.86008040759882,131,276,3,2.409996278673335
1081474898,0.7362241718115294,-1735.6122781620215,7.7121472217969,2.3933343917431014,0.0886949570728488,1.4401574215413937,5.318812830053799,148,515,9,2.4203577954461437
1084451488,0.7274915425438104,-1697.0829016823773,12.49942325784737,0.2917101564724937,0.4417051689260016,2.05009416475602,12.207713101374877,166,634,4,2.8792734275554928
1079337334,0.8724692732778987,-1077.7793665016652,6.721774894998212,15.869074088789148,0.3469281290722852,2.000731315485659,-9.147299193790936,109,307,10,0.9982011721528863
1079049704,0.8316838573531788,-1356.8342269531713,7.710309152580735,13.846396011679518,0.028299214983207,2.524020909141394,-6.136086859098783,140,371,5,2.3757417779254606
1081125370,0.8279151466385405,-1326.050222715057,8.590825829932717,10.853571226554704,0.2004603931244687,4.075868295566655,-2.2627453966219857,132,365,9,1.4693080634256648
1081469485,0.8348068762067175,-1209.147416873035,18.02942338517241,7.106751935474806,0.2692445230886512,3.440432732266789,10.922671449697605,174,362,7,1.9647458241806772
1099625106,0.8769248357544625,-1063.7835455014574,20.339864964327763,14.349388461738268,0.6963146369038362,7.706487585653705,5.990476502589496,183,400,10,3.009941536752333
1099904879,0.8454081168563701,-1313.1883440029196,10.553588161057927,18.523623379335334,0.0873875734662205,3.661000415738352,-7.970035218277406,150,558,10,2.5180745228799855
1104106044,0.8135132298253731,-1277.2419161040743,24.375726045680327,4.132550571034742,0.245319505016937,5.313680504550798,20.243175474645582,211,360,6,2.858487020464813
1104327579,0.7860242359586227,-1814.6254585697752,7.037794929063927,5.6522840970123545,0.6112310281527894,2.950762010470621,1.3855108320515723,126,691,10,1.4259244659877015
1109709062,0.8048966919885782,-1302.2219379633607,13.15163850883718,3.760648104221972,0.0123642217844149,1.2023848095187706,9.390990404615208,157,342,4,3.178974171304019
1109924339,0.8110249716850285,-1014.5647860030294,23.09541855822171,2.146533708451956,0.3038907652087059,3.071528534551158,20.948884849769755,169,177,4,2.79520300732748
1108365127,0.8426185043369907,-1198.4378064320044,19.921339377403697,12.028847305277456,0.2384418716312682,0.2669431434870462,7.892492072126242,184,392,6,3.2802683827580315
1108565586,0.910720499369148,-816.7232565658196,14.988830279120284,16.325818668451422,0.1207897164099358,0.9883955809886596,-1.3369883893311396,110,255,4,2.1110708697073686
1116979796,0.7882647690655209,-1231.8299201202462,12.07735969900056,3.603114417495532,0.2461979988660229,2.755125636755843,8.474245281505027,137,260,2,2.0923101750004367
1117166453,0.8366306210551945,-1088.387877364963,8.863355263890814,4.264047069182844,0.2263333369230269,3.0310102920422985,4.5993081947079695,99,304,3,2.2611209970127932
1118353478,0.8311136208036608,-336.1018308510975,0.7428040867252136,1.3903647463933246,0.869289418514333,0.96513912274389,-0.647560659668111,8,26,0,0.059988776682461165
1118600316,0.8210825878333579,-747.9415001223388,0.6310898536282274,2.194616062415036,0.3047728162805797,0.4310776746313403,-1.5635262087868085,28,119,2,0.5472569209147609
1119976479,0.8360275219865494,-1387.5597423739237,9.474267596340765,8.69227655582305,0.2407429896879253,1.567440925916402,0.7819910405177151,135,473,2,2.927156144600241
1120272974,0.8243358716632082,-1669.4408282984368,4.884973101514982,12.61613934781795,0.0430142806846678,1.8033329924772723,-7.731166246302969,112,717,9,2.406154146318327
1130191879,0.8510049385842725,-1024.6837765715318,38.19795799147237,0.9844992296529363,0.1190483736304328,10.091568477015176,37.21345876181943,225,293,1,3.5079805436564575
1130378962,0.8305500831777932,-1173.4028933720692,20.631244703003134,0.7547336472234626,0.3028202314435824,3.817222177411751,19.87651105577967,161,308,6,2.5140417943914297
1128557546,0.7798348492930526,-1592.8673546100326,7.798793799638035,8.943365287143184,0.2139993542066522,1.0952596952547669,-1.1445714875051491,156,564,7,1.9984610939989378
1128774624,0.8266811163173498,-1304.605617245441,11.74171831242085,9.88375541310321,0.2587932876931873,2.542853754783668,1.8579628993176411,161,398,7,2.165302313038943
1139969640,0.8249543062931688,-1004.8370830514032,19.39657305707826,0.7246887107047498,0.2304124789214478,0.6848311158795982,18.67188434637351,130,346,1,3.519514020619732
1153972744,0.8404964933016655,-991.33691840111,21.034849848393364,2.8048207044223648,0.0064053012550899,2.7982932782919603,18.230029143971,147,208,2,2.714039824349285
